GEOID10,POP_2010,POP_WHITE,POP_BLACK,POP_NATV,POP_ASN,POP_ISLND,POP_OTHER,POP_MULTI,NOT_HISP,NH_WHITE,NH_BLACK,NH_NATV,NH_ASN,NH_ISLND,NH_OTHER,NH_MULTI,HISP,H_WHITE,H_BLACK,H_NATV,H_ASN,H_ISLND,H_OTHER,H_MULTI
250173351004,1229,1142,19,5,21,0,21,21,1170,1112,16,3,21,0,0,18,59,30,3,2,0,0,21,3
250173351005,982,957,4,0,10,0,3,8,979,955,4,0,10,0,2,8,3,2,0,0,0,0,1,0
250173351006,773,755,6,0,8,0,3,1,757,742,6,0,8,0,0,1,16,13,0,0,0,0,3,0
250173352001,850,833,4,1,5,0,4,3,842,828,2,0,5,0,4,3,8,5,2,1,0,0,0,0
250173352002,804,777,11,0,7,0,0,9,790,763,11,0,7,0,0,9,14,14,0,0,0,0,0,0
250173352003,780,760,7,1,6,0,1,5,764,745,7,1,6,0,0,5,16,15,0,0,0,0,1,0
250173352004,1532,1389,27,0,84,0,16,16,1478,1354,27,0,84,0,0,13,54,35,0,0,0,0,16,3
250173352005,1671,1601,7,0,47,0,2,14,1652,1582,7,0,47,0,2,14,19,19,0,0,0,0,0,0
250173353011,1969,1826,28,1,69,0,8,37,1935,1799,27,1,69,0,3,36,34,27,1,0,0,0,5,1
250173353012,1114,1019,11,3,51,0,7,23,1077,1000,9,0,50,0,1,17,37,19,2,3,1,0,6,6
250173353013,769,703,14,5,15,0,21,11,726,684,14,5,15,0,1,7,43,19,0,0,0,0,20,4
250173353021,735,643,7,1,44,0,17,23,698,628,7,0,44,0,2,17,37,15,0,1,0,0,15,6
250173353022,3040,2884,10,4,86,0,8,48,2982,2835,9,4,86,0,3,45,58,49,1,0,0,0,5,3
250173353023,846,810,2,0,26,0,5,3,828,795,2,0,26,0,3,2,18,15,0,0,0,0,2,1
250173354001,865,826,14,1,12,0,8,4,844,816,11,1,12,0,0,4,21,10,3,0,0,0,8,0
250173354002,1922,1824,21,1,49,0,1,26,1888,1792,21,1,49,0,0,25,34,32,0,0,0,0,1,1
250173354003,1393,1322,8,1,39,0,14,9,1368,1310,8,1,39,0,2,8,25,12,0,0,0,0,12,1
250173354004,914,879,3,2,21,0,1,8,881,853,3,1,21,0,0,3,33,26,0,1,0,0,1,5
250173361001,965,901,13,1,30,0,3,17,940,877,13,1,30,0,2,17,25,24,0,0,0,0,1,0
250173361002,1285,1190,23,0,50,0,5,17,1243,1152,23,0,50,0,3,15,42,38,0,0,0,0,2,2
250173361003,872,806,9,2,34,0,6,15,857,798,8,1,34,0,2,14,15,8,1,1,0,0,4,1
250173361004,802,755,8,0,20,0,1,18,791,744,8,0,20,0,1,18,11,11,0,0,0,0,0,0
250173361005,694,662,6,0,15,0,2,9,682,654,6,0,14,0,1,7,12,8,0,0,1,0,1,2
250173361006,742,668,28,1,24,1,8,12,721,653,28,1,24,1,3,11,21,15,0,0,0,0,5,1
250173362001,817,778,6,0,20,0,5,8,807,774,5,0,20,0,0,8,10,4,1,0,0,0,5,0
250173362002,924,879,3,2,33,0,0,7,918,874,3,1,33,0,0,7,6,5,0,1,0,0,0,0
250173362003,1025,1000,3,0,15,0,2,5,1009,987,3,0,15,0,0,4,16,13,0,0,0,0,2,1
250173362004,942,895,6,1,25,0,1,14,928,883,5,1,25,0,1,13,14,12,1,0,0,0,0,1
250173362005,599,549,13,1,24,0,9,3,581,538,13,1,24,0,4,1,18,11,0,0,0,0,5,2
250173362006,765,725,6,0,16,0,0,18,747,708,6,0,16,0,0,17,18,17,0,0,0,0,0,1
250173362007,1070,994,19,0,36,1,1,19,1047,979,19,0,36,0,1,12,23,15,0,0,0,1,0,7
250173363001,744,702,6,0,28,0,2,6,735,694,6,0,28,0,1,6,9,8,0,0,0,0,1,0
250173363002,677,646,3,0,12,0,2,14,665,638,3,0,12,0,0,12,12,8,0,0,0,0,2,2
250173363003,903,876,8,0,13,0,0,6,887,860,8,0,13,0,0,6,16,16,0,0,0,0,0,0
250173363004,720,694,4,2,11,0,3,6,710,689,4,1,11,0,0,5,10,5,0,1,0,0,3,1
250173363005,1398,1308,7,4,37,1,12,29,1347,1276,7,0,37,0,0,27,51,32,0,4,0,1,12,2
250173363006,1187,1098,27,2,43,0,2,15,1165,1081,25,1,43,0,0,15,22,17,2,1,0,0,2,0
250173363007,1035,932,38,1,27,0,14,23,1012,920,38,1,27,0,4,22,23,12,0,0,0,0,10,1
250173364011,937,765,82,0,39,0,23,28,891,745,78,0,39,0,4,25,46,20,4,0,0,0,19,3
250173364012,1933,1595,91,1,181,0,27,38,1868,1563,82,1,180,0,9,33,65,32,9,0,1,0,18,5
250173364013,1390,1093,83,0,140,0,38,36,1345,1065,78,0,140,0,32,30,45,28,5,0,0,0,6,6
250173364021,813,680,66,0,30,2,18,17,769,654,65,0,30,0,3,17,44,26,1,0,0,2,15,0
250173364022,1272,1165,30,0,53,0,4,20,1245,1149,27,0,53,0,0,16,27,16,3,0,0,0,4,4
250173364023,1275,1153,39,3,44,0,10,26,1249,1141,38,0,44,0,2,24,26,12,1,3,0,0,8,2
250173364024,1197,1085,29,1,22,0,37,23,1161,1065,26,1,22,0,27,20,36,20,3,0,0,0,10,3
250173371011,1387,1314,17,2,39,0,2,13,1365,1301,11,0,39,0,1,13,22,13,6,2,0,0,1,0
250173371012,1708,1554,41,8,42,0,28,35,1652,1526,39,8,42,0,5,32,56,28,2,0,0,0,23,3
250173371021,560,488,7,2,48,0,1,14,555,484,7,2,48,0,0,14,5,4,0,0,0,0,1,0
250173371022,2002,1859,27,4,71,0,17,24,1964,1835,27,2,71,0,8,21,38,24,0,2,0,0,9,3
250173371023,2480,2325,19,0,94,0,8,34,2428,2293,16,0,94,0,1,24,52,32,3,0,0,0,7,10
250173372011,1802,1672,39,0,70,0,10,11,1760,1641,37,0,70,0,2,10,42,31,2,0,0,0,8,1
250173372012,701,674,9,0,8,0,7,3,692,670,9,0,8,0,2,3,9,4,0,0,0,0,5,0
250173372013,689,607,9,2,25,0,33,13,660,587,7,2,25,0,27,12,29,20,2,0,0,0,6,1
250173372021,1220,1152,12,0,42,0,8,6,1201,1142,11,0,40,0,3,5,19,10,1,0,2,0,5,1
250173372022,1604,1525,16,0,33,0,9,21,1569,1502,16,0,33,0,0,18,35,23,0,0,0,0,9,3
250173372023,1086,988,15,2,27,1,35,18,1013,953,13,0,27,1,8,11,73,35,2,2,0,0,27,7
250173372024,939,869,9,0,54,0,1,6,928,862,9,0,54,0,0,3,11,7,0,0,0,0,1,3
250173373001,851,750,37,5,20,0,30,9,789,720,32,3,20,0,7,7,62,30,5,2,0,0,23,2
